Year,Weekend,Movie,Weekend Gross ($),Theaters Change (%),Movie,Special Days
2024,Dec 27-29,+13.9%,159403178.0,+20.5%,Sonic the Hedgehog 3,
2024,Dec 20-22,+59.8%,139944015.0,+50.9%,Sonic the Hedgehog 3,
2024,Dec 13-15,-32.4%,87557182.0,-31.4%,Moana 2,
2024,Dec 6-8,-52.9%,129558686.0,-50.4%,Moana 2,Post-Thanksgiving
2024,Nov 29-Dec 1,+37.6%,274782835.0,+36.7%,Moana 2,Thanksgiving 3-Day
2024,Nov 28-Dec 1,-,331313484.0,-,Moana 2,Thanksgiving 4-Day
2024,Nov 27-Dec 1,-,421199078.0,-,Moana 2,Thanksgiving 5-Day
2024,Nov 22-24,+202.9%,199698142.0,+189.6%,Wicked,
2024,Nov 15-17,+6.2%,65924511.0,+1.5%,Red One,
2024,Nov 8-10,-1.8%,62096528.0,-3.9%,Venom: The Last Dance,
2024,Nov 1-3,-29.1%,63211547.0,-23.7%,Venom: The Last Dance,
2024,Oct 25-27,+46.7%,89097223.0,+36.6%,Venom: The Last Dance,
2024,Oct 18-20,-7%,60750112.0,-5.9%,Smile 2,
2024,Oct 11-13,-20.5%,65310508.0,-16.7%,Terrifier 3,
2024,Oct 11-14,-,76691023.0,-,Terrifier 3,Indig. Peoples' Day wknd
2024,Oct 4-6,-2.6%,82199808.0,-5.7%,Joker: Folie à Deux,
2024,Sep 27-29,+13%,84351917.0,+13.7%,The Wild Robot,
2024,Sep 20-22,-13.3%,74680626.0,-12.7%,Beetlejuice Beetlejuice,
2024,Sep 13-15,-39%,86099341.0,-36.5%,Beetlejuice Beetlejuice,
2024,Sep 6-8,+108.1%,141147925.0,+79.4%,Beetlejuice Beetlejuice,
2024,Aug 30-Sep 1,-17.6%,67834084.0,-7.4%,Deadpool & Wolverine,
2024,Aug 30-Sep 2,-,87597444.0,-,Deadpool & Wolverine,Labor Day wknd
2024,Aug 23-25,-38.5%,82360540.0,-36.7%,Deadpool & Wolverine,
2024,Aug 16-18,-13.6%,133867955.0,-11%,Alien: Romulus,
2024,Aug 9-11,-7%,154916671.0,-7.4%,Deadpool & Wolverine,
2024,Aug 2-4,-41.1%,166647076.0,-40.2%,Deadpool & Wolverine,
2024,Jul 26-28,+94.7%,283134352.0,+90.5%,Deadpool & Wolverine,
2024,Jul 19-21,+23.4%,145451308.0,+21.5%,Twisters,
2024,Jul 12-14,-22.3%,117832573.0,-21.2%,Despicable Me 4,
2024,Jul 5-7,+3.2%,151658717.0,+1.2%,Despicable Me 4,
2024,Jun 28-30,-0.8%,147007715.0,+0.4%,Inside Out 2,
2024,Jun 21-23,-29.8%,148254918.0,-28.2%,Inside Out 2,
2024,Jun 14-16,+111.6%,211060110.0,+105.2%,Inside Out 2,
2024,Jun 7-9,+65.5%,99767088.0,+57.1%,Bad Boys: Ride or Die,
2024,May 31-Jun 2,-38.3%,60289666.0,-34.8%,The Garfield Movie,
2024,May 24-26,+7.2%,97780501.0,+5.5%,Furiosa: A Mad Max Saga,
2024,May 24-27,-,126848103.0,-,Furiosa: A Mad Max Saga,Memorial Day wknd
2024,May 17-19,-0.2%,91192848.0,+0.4%,IF,
2024,May 10-12,+33.6%,91335805.0,+30%,Kingdom of the Planet of the Apes,
2024,May 3-5,+21.1%,68351601.0,+15.3%,The Fall Guy,
2024,Apr 26-28,-7.5%,56431872.0,-2.5%,Challengers,
2024,Apr 19-21,-10.7%,60997717.0,-12.6%,Civil War,
2024,Apr 12-14,-15.8%,68334834.0,-12%,Civil War,
2024,Apr 5-7,-37.6%,81139811.0,-37.7%,Godzilla x Kong: The New Empire,
2024,Mar 29-31,+32.1%,129945064.0,+32.3%,Godzilla x Kong: The New Empire,
2024,Mar 29-Apr 1,-,144556947.0,-,Godzilla x Kong: The New Empire,Easter wknd
2024,Mar 22-24,+18%,98378983.0,+18.1%,Ghostbusters: Frozen Empire,
2024,Mar 15-17,-36.4%,83390150.0,-35.5%,Kung Fu Panda 4,
2024,Mar 8-10,+20.4%,131087594.0,+18.7%,Kung Fu Panda 4,
2024,Mar 1-3,+112.2%,108910449.0,+89.4%,Dune: Part Two,
2024,Feb 23-25,-26%,51332370.0,-23%,Bob Marley: One Love,
2024,Feb 16-19,-,82733326.0,-,Bob Marley: One Love,Presidents' Day wknd
2024,Feb 16-18,+138.4%,69396505.0,+112.5%,Bob Marley: One Love,
2024,Feb 9-11,-43.4%,29104430.0,-38.6%,Argylle,
2024,Feb 2-4,+23.2%,51381346.0,+10.6%,Argylle,
2024,Jan 26-28,-19.8%,41718631.0,-16.5%,Mean Girls,
2024,Jan 19-21,-39%,52031949.0,-32.8%,Mean Girls,
2024,Jan 12-14,+13.2%,85320537.0,+13%,Mean Girls,
2024,Jan 12-15,-,102444462.0,-,Mean Girls,MLK wknd
2024,Jan 5-7,-25%,75396375.0,-23.9%,Wonka,
2023,"Dec 29-Jan 1, 2024",-,129143595.0,-,Wonka,New Year's long wknd
2023,Dec 29-31,+17%,100476963.0,+19.5%,Wonka,
2023,Dec 22-25,-,136914224.0,-,Aquaman and the Lost Kingdom,Christmas long wknd
2023,Dec 22-24,+24.4%,85845470.0,+24.4%,Aquaman and the Lost Kingdom,
2023,Dec 15-17,+16.3%,68999014.0,+7.8%,Wonka,
2023,Dec 8-10,-31.5%,59345395.0,-27.5%,The Boy and the Heron,
2023,Dec 1-3,-20.7%,86665445.0,-16.3%,Renaissance: A Film by Beyoncé,Post-Thanksgiving
2023,Nov 24-26,-1.4%,109288380.0,+0.4%,The Hunger Games: The Ballad of Songbirds & Snakes,Thanksgiving 3-Day
2023,Nov 23-26,-,130732631.0,-,The Hunger Games: The Ballad of Songbirds & Snakes,Thanksgiving 4-Day
2023,Nov 22-26,-,163905713.0,-,The Hunger Games: The Ballad of Songbirds & Snakes,Thanksgiving 5-Day
2023,Nov 17-19,+36.2%,110852405.0,+32%,The Hunger Games: The Ballad of Songbirds & Snakes,
2023,Nov 10-12,+44.9%,81360032.0,+38.6%,The Marvels,
2023,Nov 3-5,-54.2%,56142348.0,-50%,Five Nights at Freddy's,
2023,Oct 27-29,+52.8%,122529750.0,+50%,Five Nights at Freddy's,
2023,Oct 20-22,-37.6%,80214659.0,-36.7%,Taylor Swift: The Eras Tour,
2023,Oct 13-15,+94.8%,128506479.0,+82.1%,Taylor Swift: The Eras Tour,
2023,Oct 6-9,-,74776095.0,-,The Exorcist: Believer,Indig. Peoples' Day wknd
2023,Oct 6-8,-15.3%,65970473.0,-14.8%,The Exorcist: Believer,
2023,Sep 29-Oct 1,+83.9%,77879020.0,+64.3%,PAW Patrol: The Mighty Movie,
2023,Sep 22-24,-24.4%,42349485.0,-17%,The Nun II,
2023,Sep 15-17,-31.4%,56042286.0,-28.9%,The Nun II,
2023,Sep 8-10,+3.1%,81688220.0,-1%,The Nun II,
2023,Sep 1-3,+1.6%,79244392.0,-1.9%,The Equalizer 3,
2023,Sep 1-4,-,101367979.0,-,The Equalizer 3,Labor Day wknd
2023,Aug 25-27,-15%,78022576.0,-6.6%,Gran Turismo,
2023,Aug 18-20,-15.4%,91834103.0,-13%,Blue Beetle,
2023,Aug 11-13,-37.2%,108489585.0,-36.7%,Barbie,
2023,Aug 4-6,-17.6%,172767141.0,-17.3%,Barbie,
2023,Jul 28-30,-31.9%,209751460.0,-31.3%,Barbie,
2023,Jul 21-23,+129.4%,307805201.0,+121.4%,Barbie,
2023,Jul 14-16,+10.9%,134207030.0,+7.8%,Mission: Impossible - Dead Reckoning Part One,
2023,Jul 7-9,-0.9%,121030650.0,+1.6%,Insidious: The Red Door,
2023,Jun 30-Jul 4 July 4 th long wknd,-,184963868.0,-,Indiana Jones and the Dial of Destiny,
2023,Jun 30-Jul 2,+15.2%,122142874.0,+17.6%,Indiana Jones and the Dial of Destiny,
2023,Jun 23-25,-34.3%,106020773.0,-33.4%,Spider-Man: Across the Spider-Verse,
2023,Jun 16-18,-1.4%,161297087.0,-0.9%,The Flash,
2023,Jun 9-11,-19.6%,163527157.0,-19.4%,Transformers: Rise of the Beasts,
2023,Jun 2-4,+26.4%,203338486.0,+25.8%,Spider-Man: Across the Spider-Verse,
2023,May 26-29,-,200810396.0,-,The Little Mermaid,Memorial Day wknd
2023,May 26-28,+35.4%,160808155.0,+34%,The Little Mermaid,
2023,May 19-21,+24.8%,118739905.0,+20.8%,Fast X,
2023,May 12-14,-39%,95148648.0,-37%,Guardians of the Galaxy Vol. 3,
2023,May 5-7,+76.1%,156015546.0,+59.6%,Guardians of the Galaxy Vol. 3,
2023,Apr 28-30,-25.3%,88589524.0,-19.8%,The Super Mario Bros. Movie,
2023,Apr 21-23,-16.9%,118529087.0,-15.1%,The Super Mario Bros. Movie,
2023,Apr 14-16,-28.9%,142633921.0,-28.2%,The Super Mario Bros. Movie,
2023,Apr 7-10,-,227011315.0,-,The Super Mario Bros. Movie,Easter wknd
2023,Apr 7-9,+118.5%,200569722.0,+109.2%,The Super Mario Bros. Movie,
2023,Mar 31-Apr 2,-18.2%,91814122.0,-16%,Dungeons & Dragons: Honor Among Thieves,
2023,Mar 24-26,+28.8%,112191657.0,+26.5%,John Wick: Chapter 4,
2023,Mar 17-19,-23.2%,87087315.0,-21.9%,Shazam! Fury of the Gods,
2023,Mar 10-12,+0.8%,113369708.0,+0.4%,Scream VI,
2023,Mar 3-5,+27%,112469994.0,+24.8%,Creed III,
2023,Feb 24-26,-36.1%,88586462.0,-35%,Ant-Man and the Wasp: Quantumania,
2023,Feb 17-20,-,159948829.0,-,Ant-Man and the Wasp: Quantumania,Presidents' Day wknd
2023,Feb 17-19,+190.1%,138728599.0,+175.5%,Ant-Man and the Wasp: Quantumania,
2023,Feb 10-12,-33.8%,47814469.0,-35.3%,Magic Mike's Last Dance,
2023,Feb 3-5,+15.9%,72172820.0,+12.3%,Knock at the Cabin,
2023,Jan 27-29,-12%,62261869.0,-2.4%,Avatar: The Way of Water,
2023,Jan 20-22,-28.4%,70766896.0,-28%,Avatar: The Way of Water,
2023,Jan 13-15,-5.1%,98902358.0,-3%,Avatar: The Way of Water,
2023,Jan 13-16,-,119958973.0,-,Avatar: The Way of Water,MLK wknd
2023,Jan 6-8,+2.1%,104267030.0,+2.9%,Avatar: The Way of Water,
2022,"Dec 30-Jan 2, 2023",-,134622744.0,-,Avatar: The Way of Water,New Year's long wknd
2022,"Dec 30-Jan 1, 2023",+8.6%,102074088.0,+9%,Avatar: The Way of Water,
2022,Dec 23-26,-,141716017.0,-,Avatar: The Way of Water,Christmas long wknd
2022,Dec 23-25,-37.9%,93952740.0,-38.1%,Avatar: The Way of Water,
2022,Dec 16-18 World Cup (Qatar),+355.1%,151354815.0,+305.6%,Avatar: The Way of Water,
2022,Dec 9-11 World Cup (Qatar),-32.4%,33258801.0,-28.4%,Black Panther: Wakanda Forever,
2022,Dec 2-4 World Cup (Qatar),-45.2%,49166499.0,-43.8%,Black Panther: Wakanda Forever,Post-Thanksgiving
2022,Nov 25-27 World Cup (Qatar),-9.4%,89735916.0,-6.9%,Black Panther: Wakanda Forever,Thanksgiving 3-Day
2022,Nov 24-27 World Cup (Qatar),-,106837323.0,-,Black Panther: Wakanda Forever,Thanksgiving 4-Day
2022,Nov 23-27 World Cup (Qatar),-,128658959.0,-,Black Panther: Wakanda Forever,Thanksgiving 5-Day
2022,Nov 18-20,-52.1%,98996721.0,-51.9%,Black Panther: Wakanda Forever,
2022,Nov 11-13,+283.9%,206857668.0,+255.6%,Black Panther: Wakanda Forever,
2022,Nov 4-6,-15.2%,53888688.0,-13.1%,Black Adam,
2022,Oct 28-30,-42.3%,63565774.0,-40.3%,Black Adam,
2022,Oct 21-23,+51.5%,110164317.0,+48.9%,Black Adam,
2022,Oct 14-16,+35.2%,72697268.0,+29.5%,Halloween Ends,
2022,Oct 7-10,-,61664865.0,-,Smile,Indig. Peoples' Day wknd
2022,Oct 7-9,-5.3%,53759907.0,-7.8%,Smile,
2022,Sep 30-Oct 2,+1.8%,56765793.0,+2.5%,Smile,
2022,Sep 23-25,+29.5%,55769690.0,+21.3%,Don't Worry Darling,
2022,Sep 16-18,+26.8%,43050766.0,+19%,The Woman King,
2022,Sep 9-11,-19.9%,33945638.0,-22.6%,Barbarian,
2022,Sep 2-4,+2.4%,42395247.0,+7.1%,Top Gun: Maverick,
2022,Sep 2-5,-,54205807.0,-,Top Gun: Maverick,Labor Day wknd
2022,Aug 26-28,-40.2%,41408038.0,-33.9%,The Invitation,
2022,Aug 19-21,+25%,69281199.0,+20.7%,Dragon Ball Super: Super Hero,
2022,Aug 12-14,-37%,55432709.0,-29%,Bullet Train,
2022,Aug 5-7,-6.2%,88004513.0,-5.9%,Bullet Train,
2022,Jul 29-31,-24.4%,93856999.0,-22.5%,DC League of Super-Pets,
2022,Jul 22-24,-5.4%,124080435.0,-4.9%,Nope,
2022,Jul 15-17,-44.7%,131231157.0,-44.3%,Thor: Love and Thunder,
2022,Jul 8-10,+25.9%,237265821.0,+25.5%,Thor: Love and Thunder,
2022,Jul 1-4 July 4 th long wknd,-,221928586.0,-,Minions: The Rise of Gru,
2022,Jul 1-3,+41.4%,188498988.0,+41.1%,Minions: The Rise of Gru,
2022,Jun 24-26,-18.3%,133333162.0,-18.2%,Elvis,
2022,Jun 17-19,-23.1%,163242107.0,-23.4%,Jurassic World: Dominion,
2022,Jun 10-12,+79.4%,212413470.0,+76.6%,Jurassic World: Dominion,
2022,Jun 3-5,-32.2%,118392908.0,-31.3%,Top Gun: Maverick,
2022,May 27-29,+144.1%,174602102.0,+134.2%,Top Gun: Maverick,
2022,May 27-30,-,220038783.0,-,Top Gun: Maverick,Memorial Day wknd
2022,May 20-22,-19.7%,71518782.0,-17.5%,Doctor Strange in the Multiverse of Madness,
2022,May 13-15,-59.6%,89049541.0,-58.7%,Doctor Strange in the Multiverse of Madness,
2022,May 6-8,+252.4%,220282059.0,+232.3%,Doctor Strange in the Multiverse of Madness,
2022,Apr 29-May 1,-30.7%,62512297.0,-28.4%,The Bad Guys,
2022,Apr 22-24,-14.8%,90218714.0,-12.8%,The Bad Guys,
2022,Apr 15-17,-9.6%,105898267.0,-9.7%,Fantastic Beasts: The Secrets of Dumbledore,
2022,Apr 15-18,-,118286160.0,-,Fantastic Beasts: The Secrets of Dumbledore,Easter wknd
2022,Apr 8-10,+46%,117176203.0,+43%,Sonic the Hedgehog 2,
2022,Apr 1-3,+2.2%,80235023.0,+1.2%,Morbius,
2022,Mar 25-27,-2%,78479529.0,-1.7%,The Lost City,
2022,Mar 18-20,-19.4%,80060996.0,-18.1%,The Batman,
2022,Mar 11-13,-39.2%,99316599.0,-38.6%,The Batman,
2022,Mar 4-6,+197.1%,163405808.0,+172.7%,The Batman,
2022,Feb 25-27,-39%,55006939.0,-35.6%,Uncharted,
2022,Feb 18-21,-,106169516.0,-,Uncharted,Presidents' Day wknd
2022,Feb 18-20,+79%,90159064.0,+75.7%,Uncharted,
2022,Feb 11-13,-9.8%,50371632.0,-9.9%,Death on the Nile,
2022,Feb 4-6,+81.4%,55860817.0,+70.5%,Jackass Forever,
2022,Jan 28-30,-27%,30794469.0,-24%,Spider-Man: No Way Home,
2022,Jan 21-23,-38.3%,42161017.0,-35.5%,Spider-Man: No Way Home,
2022,Jan 14-16,+13.3%,68339319.0,+13.9%,Scream,
2022,Jan 14-17,-,81219405.0,-,Scream,MLK wknd
2022,Jan 7-9,-37%,60318053.0,-36.5%,Spider-Man: No Way Home,
2021,"Dec 31-Jan 2, 2022",-31.6%,95723075.0,-31.2%,Spider-Man: No Way Home,
2021,Dec 24-26,-50.4%,139868872.0,-49.2%,Spider-Man: No Way Home,
2021,Dec 17-19,+591.1%,281737588.0,+544%,Spider-Man: No Way Home,
2021,Dec 10-12,-14.2%,40765448.0,-16.6%,West Side Story,
2021,Dec 3-5,-48.7%,47539355.0,-45.4%,Encanto,Post-Thanksgiving
2021,Nov 26-28,+15.4%,92724526.0,+15.5%,Encanto,Thanksgiving 3-Day
2021,Nov 25-28,-,112542037.0,-,Encanto,Thanksgiving 4-Day
2021,Nov 24-28,-,137256716.0,-,Encanto,Thanksgiving 5-Day
2021,Nov 19-21,+22%,80359448.0,+18.4%,Ghostbusters: Afterlife,
2021,Nov 12-14,-36.7%,65852727.0,-35.6%,Eternals,
2021,Nov 5-7,+68.2%,103960166.0,+70.5%,Eternals,
2021,Oct 29-31,-34.7%,61792453.0,-33%,Dune: Part One,
2021,Oct 22-24,-11.7%,94686103.0,-12.2%,Dune: Part One,
2021,Oct 15-17,<0.1%,107208512.0,+0.3%,Halloween Kills,
2021,Oct 8-11,-,121111244.0,-,No Time to Die,Indig. Peoples' Day wknd
2021,Oct 8-10,-15%,107172846.0,-15.6%,No Time to Die,
2021,Oct 1-3,+251.7%,126019090.0,+232.8%,Venom: Let There Be Carnage,
2021,Sep 24-26,-20.1%,35828704.0,-19.2%,Shang-Chi and the Legend of the Ten Rings,
2021,Sep 17-19,-23.3%,44862382.0,-21.7%,Shang-Chi and the Legend of the Ten Rings,
2021,Sep 10-12,-46%,58513420.0,-44.5%,Shang-Chi and the Legend of the Ten Rings,
2021,Sep 3-5,+88.1%,108338758.0,+79.4%,Shang-Chi and the Legend of the Ten Rings,
2021,Sep 3-6,-,136008971.0,-,Shang-Chi and the Legend of the Ten Rings,Labor Day wknd
2021,Aug 27-29,-2.5%,57594823.0,-2.9%,Candyman,
2021,Aug 20-22,-18.2%,59076598.0,-16.1%,Free Guy,
2021,Aug 13-15,+16.3%,72234401.0,+16.1%,Free Guy,
2021,Aug 6-8,-17.2%,62114018.0,-17.1%,The Suicide Squad,
2021,Jul 30-Aug 1,+11.8%,74999440.0,+11.4%,Jungle Cruise,
2021,Jul 23-25,-24.3%,67081731.0,-22.9%,Old,
2021,Jul 16-18,-24.6%,88585434.0,-23.2%,Space Jam: A New Legacy,
2021,Jul 9-11,+75.7%,117534978.0,+72.7%,Black Widow,
2021,Jul 2-5 July 4 th long wknd,-,84462080.0,-,F9: The Fast Saga,
2021,Jul 2-4,-31.1%,66885523.0,-30.1%,F9: The Fast Saga,
2021,Jun 25-27,+120.1%,97117531.0,+115.3%,F9: The Fast Saga,
2021,Jun 18-20,-20.7%,44120211.0,-20%,Hitman's Wife's Bodyguard,
2021,Jun 11-13,-14.6%,55654996.0,-13.1%,A Quiet Place Part II,COVID-19 Pandemic
2021,Jun 4-6,-17.6%,65153180.0,-18.4%,The Conjuring: The Devil Made Me Do It,COVID-19 Pandemic
2021,May 28-31,-,96144349.0,-,A Quiet Place Part II,COVID-19 Pandemic
2021,May 28-30,+359.6%,79110516.0,+299.9%,A Quiet Place Part II,COVID-19 Pandemic
2021,May 21-23,-28.2%,17211825.0,-23.5%,Spiral,COVID-19 Pandemic
2021,May 14-16,+11.7%,23977615.0,+12.3%,Spiral,COVID-19 Pandemic
2021,May 7-9,-5.2%,21458636.0,-3.4%,Wrath of Man,COVID-19 Pandemic
2021,Apr 30-May 2,-59.3%,22632435.0,-57.4%,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,COVID-19 Pandemic
2021,Apr 23-25,+209%,55672089.0,+192.9%,Mortal Kombat,COVID-19 Pandemic
2021,Apr 16-18,-28.6%,18019423.0,-25.9%,Godzilla vs. Kong,COVID-19 Pandemic
2021,Apr 9-11,-41.2%,25237445.0,-40.3%,Godzilla vs. Kong,COVID-19 Pandemic
2021,Apr 2-5,-,46642922.0,-,Godzilla vs. Kong,COVID-19 Pandemic
2021,Apr 2-4,+147%,42925292.0,+133.9%,Godzilla vs. Kong,COVID-19 Pandemic
2021,Mar 26-28,+12.4%,17375273.0,+6.6%,Nobody,COVID-19 Pandemic
2021,Mar 19-21,-0.7%,15460315.0,+2.6%,Raya and the Last Dragon,COVID-19 Pandemic
2021,Mar 12-14,-31.9%,15568060.0,-28.9%,Raya and the Last Dragon,COVID-19 Pandemic
2021,Mar 5-7,+15.9%,22852467.0,+15.7%,Raya and the Last Dragon,COVID-19 Pandemic
2021,Feb 26-28,+169.6%,19718662.0,+155.1%,Tom & Jerry,COVID-19 Pandemic
2021,Feb 19-21,-31.4%,7315322.0,-29.8%,The Croods: A New Age,COVID-19 Pandemic
2021,Feb 12-14,+46.2%,10659782.0,+47.9%,The Croods: A New Age,COVID-19 Pandemic
2021,Feb 12-15,-,12006490.0,-,The Croods: A New Age,COVID-19 Pandemic
2021,Feb 5-7,-34.2%,7293328.0,-33.3%,The Little Things,COVID-19 Pandemic
2021,Jan 29-31,+33%,11080199.0,+31.6%,The Little Things,COVID-19 Pandemic
2021,Jan 22-24,-21.2%,8331573.0,-17.6%,The Marksman,COVID-19 Pandemic
2021,Jan 15-18,-,12497047.0,-,The Marksman,COVID-19 Pandemic
2021,Jan 15-17,+19.3%,10578393.0,+19.9%,The Marksman,COVID-19 Pandemic
2021,Jan 8-10,-29.5%,8867268.0,-29.1%,Wonder Woman 1984,COVID-19 Pandemic
2021,Jan 1-3,-47.1%,12584769.0,-46.9%,Wonder Woman 1984,COVID-19 Pandemic
2020,Dec 25-27,+253.4%,23780363.0,+217.7%,Wonder Woman 1984,COVID-19 Pandemic
2020,Dec 18-20,+20.2%,6729235.0,+13.8%,Monster Hunter,COVID-19 Pandemic
2020,Dec 11-13,-24.7%,5596422.0,-20.2%,The Croods: A New Age,COVID-19 Pandemic
2020,Dec 4-6,-43.8%,7435065.0,-40.7%,The Croods: A New Age,COVID-19 Pandemic
2020,Nov 27-29,+145.8%,13230347.0,+120.9%,The Croods: A New Age,COVID-19 Pandemic
2020,Nov 26-29,-,16639253.0,-,The Croods: A New Age,COVID-19 Pandemic
2020,Nov 25-29,-,19086132.0,-,The Croods: A New Age,COVID-19 Pandemic
2020,Nov 20-22,-47.9%,5383632.0,-43.7%,Freaky,COVID-19 Pandemic
2020,Nov 13-15,-3.5%,10333176.0,+0.2%,Freaky,COVID-19 Pandemic
2020,Nov 6-8,+22.8%,10713492.0,+16.9%,Let Him Go,COVID-19 Pandemic
2020,Oct 30-Nov 1,-8%,8721044.0,-12.3%,Come Play,COVID-19 Pandemic
2020,Oct 23-25,-21.5%,9478057.0,-14.6%,Honest Thief,COVID-19 Pandemic
2020,Oct 16-18,+26.7%,12070817.0,+24.8%,Honest Thief,COVID-19 Pandemic
2020,Oct 9-12,-,10436872.0,-,The War with Grandpa,COVID-19 Pandemic
2020,Oct 9-11,+17.7%,9528676.0,+14.4%,The War with Grandpa,COVID-19 Pandemic
2020,Oct 2-4,-5.2%,8095048.0,-3%,Tenet,COVID-19 Pandemic
2020,Sep 25-27,-20.7%,8534687.0,-16.3%,Tenet,COVID-19 Pandemic
2020,Sep 18-20,-13.1%,10757062.0,-10.5%,Tenet,COVID-19 Pandemic
2020,Sep 11-13,-23.1%,12372594.0,-22.7%,Tenet,COVID-19 Pandemic
2020,Sep 4-7,-,19765372.0,-,Tenet,COVID-19 Pandemic
2020,Sep 4-6,+13.4%,16098628.0,+12.6%,Tenet,COVID-19 Pandemic
2020,Aug 28-30,+121.6%,14201687.0,+111.9%,The New Mutants,COVID-19 Pandemic
2020,Aug 21-23,+227.2%,6409085.0,+234.4%,Unhinged,COVID-19 Pandemic
2020,Aug 14-16,+79.4%,1958968.0,+77.9%,The SpongeBob Movie: Sponge on the Run,COVID-19 Pandemic
2020,Aug 7-9,+7.8%,1092176.0,+8.7%,The Tax Collector,COVID-19 Pandemic
2020,Jul 31-Aug 2,+50.1%,1012992.0,+55.5%,The Rental,COVID-19 Pandemic
2020,Jul 24-26,-68.1%,675043.0,-69.8%,The Rental,COVID-19 Pandemic
2020,Jul 17-19,-6%,2115079.0,-7.1%,Beauty and the Beast2020 Re-release,COVID-19 Pandemic
2020,Jul 10-12,+156.4%,2250891.0,+171.5%,Star Wars: Episode V - The Empire Strikes Back2020 Re-release,COVID-19 Pandemic
2020,Jul 3-5,+202%,877966.0,+202.6%,Ghostbusters2020 Re-release,COVID-19 Pandemic
2020,Jun 26-28,-80.6%,290744.0,-80.5%,Becky,COVID-19 Pandemic
2020,Jun 19-21,+186.6%,1496203.0,+187.3%,Jurassic Park2020 Re-release,COVID-19 Pandemic
2020,Jun 12-14,+23.8%,522105.0,+23.9%,Becky,COVID-19 Pandemic
2020,Jun 5-7,+105.8%,421572.0,+105.8%,Becky,COVID-19 Pandemic
2020,May 29-31,-7.1%,204881.0,-7.1%,The Wretched,COVID-19 Pandemic
2020,May 22-24,+68.9%,220573.0,+68.9%,The Wretched,COVID-19 Pandemic
2020,May 22-25,-,240390.0,-,The Wretched,COVID-19 Pandemic
2020,May 15-17,+51.1%,130583.0,+51.1%,The Wretched,COVID-19 Pandemic
2020,May 8-10,-6.5%,86428.0,-6.5%,The Wretched,COVID-19 Pandemic
2020,May 1-3,+665.9%,92387.0,+665.9%,The Wretched,COVID-19 Pandemic
2020,Apr 24-26,+130%,12062.0,+130%,True History of the Kelly Gang,COVID-19 Pandemic
2020,Apr 17-19,-64.1%,5245.0,-64.1%,Resistance,COVID-19 Pandemic
2020,Apr 10-12,+256.7%,14612.0,+256.7%,"Phoenix, OregonRe-release",COVID-19 Pandemic
2020,Apr 10-13,-,3675.0,-,Swallow,COVID-19 Pandemic
2020,Apr 3-5,+9%,4097.0,+9%,"Phoenix, OregonRe-release",COVID-19 Pandemic
2020,Mar 27-29,-9.7%,3758.0,-9.7%,Strike,COVID-19 Pandemic
2020,Mar 20-22,-100%,4160.0,-100%,"Phoenix, OregonRe-release",COVID-19 Pandemic
2020,Mar 13-15,-45.2%,49580363.0,-46.7%,Onward,COVID-19 Pandemic
2020,Mar 6-8,+8.3%,90403859.0,+3.5%,Onward,
2020,Feb 28-Mar 1,-3.6%,83485776.0,-5.1%,The Invisible Man,
2020,Feb 21-23,-38.1%,86611757.0,-34.3%,Sonic the Hedgehog,
2020,Feb 14-16,+72.6%,140013866.0,+63.6%,Sonic the Hedgehog,
2020,Feb 14-17,-,163923226.0,-,Sonic the Hedgehog,Presidents' Day wknd
2020,Feb 7-9,+25.7%,81131843.0,+18.2%,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,
2020,Jan 31-Feb 2,-38.6%,64549859.0,-33.6%,Bad Boys for Life,
2020,Jan 24-26,-29.2%,105175642.0,-26.9%,Bad Boys for Life,
2020,Jan 17-20,-,182673454.0,-,Bad Boys for Life,MLK wknd
2020,Jan 17-19,+26.5%,148594253.0,+26%,Bad Boys for Life,
2020,Jan 10-12,-10.5%,117434941.0,-7.3%,1917,
2020,Jan 3-5,-29.8%,131220088.0,-27.8%,Star Wars: Episode IX - The Rise of Skywalker,
